"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"06031";3971;"Diego de Leon E-O - Claudio Coello-Serrano";"URB";"441850.831647978";"4476273.34094499"
"06032";3972;"Diego de Leon O-E - Lagasca-Velazquez";"URB";"441964.785729344";"4476260.44738176"
"06033";3973;"Principe Vergara N-S - Lopez Hoyos-Francisco Silvela";"URB";"442421.450853048";"4476889.65500147"
"06034";3974;"Francisco Silvela S-N - Av, America-San Fdo,del Jarama";"URB";"442521.760909497";"4476579.11710875"
"06035";3975;"Principe Vergara S-N - Maria Molina-Francisco Silvela";"URB";"442407.325371999";"4476560.26100423"
"06036";3976;"Francisco Silvela N-S - Gta, Lopez Hoyos-Principe Vergara";"URB";"442306.696759804";"4476819.10264037"
"06037";3977;"Francisco Silvela E-O - Principe Vergara-Lopez Hoyos";"URB";"442361.007141891";"4476785.18340251"
"06038";3978;"Lopez de Hoyos E-O - Principe Vergara- Gta,Lopez Hoyos";"URB";"442407.054394554";"4476951.17034058"
"06039";3979;"Jose Ortega y Gasset, 13 E-O - Claudio Coello-Serrano";"URB";"441818.261637162";"4475756.66664587"
"06040";3980;"Jose Ortega y Gasset, 16 O-E - Lagasca-Velazquez";"URB";"441929.047862775";"4475746.73225156"
"06041";3981;"Velazquez S-N (Lateral) - General Oraa-Maria Molina";"URB";"442060.716713559";"4476401.77516302"
"06042";3982;"Velazquez S-N (Entrada Tunel) - General Oraa-Maria Molina";"URB";"442055.633952062";"4476401.57293942"
"06043";4014;"Hermosilla a 50 mts G,2 O-E - Lagasca - Velazquez";"URB";"441907.22160408";"4475307.46448192"
"06044";9892;"Velazquez S-N - Diego de Le�n-Gral,Ora�";"URB";"442047.374695265";"4476303.46936414"
"06045";3949;"JOAQUIN COSTA 36 O-E (PL, REPUBLICA ARGENTINA - VELAZQUEZ)";"URB";"442010.383570348";"4477199.71481462"
"06046";3951;"JOAQUIN COSTA 55 E-O (GTA, LOPEZ DE HOYOS - VELAZQUEZ)";"URB";"442198.698128262";"4476973.63836243"
"06047";3721;"JOAQUIN COSTA 70 E-O (VELAZQUEZ - GTA, LOPEZ DE HOYOS)";"URB";"442156.889147404";"4477018.29161914"
"06048";3957;"JOAQUIN COSTA 70 E-O (VELAZQUEZ - GTA, LOPEZ HOYOS) (LATERAL)";"URB";"442150.353274776";"4477013.31284782"
"06049";9895;"JOAQUIN COSTA E-O (VELAZQUEZ - REPUBLICA ARGENTINA)";"URB";"442071.085666228";"4477143.15798984"
"06300";3983;"(MICRO) Principe Vergara S-N (Delante G,6) - ";"URB";"442421.168676156";"4476675.63280087"
"06302";3985;"(MICRO) Francisco Silvela E-O (Delante G, 4) - ";"URB";"442412.770502531";"4476714.4468924"
"06303";3986;"(MICRO) Fancisco Silvela E-O (Delante G, 4) - ";"URB";"442421.215287901";"4476704.22542992"
"06304";3987;"(MICRO) Francisco Silvela E-O (Delante G, 3) - ";"URB";"442433.49342727";"4476689.26433296"
